id,headline,new_time,received_time,model_sentiment,currency
3cb55f86771940f897ca3e29695732ed,"Asia's G-20 Hangover Meets Fresh Tariff, HK Pain: Markets Live",,2019/7/2 06:58:09,0.0,HKD
e60e77f950444ebaa86f7f3fea02a4e4,"U.K. Banks Can Teeter From Double Bane of Brexit, Earnings",,2019/7/16 19:26:38,60.0,GBP
233a32bc7b39459b8b0c67ff2c80aa55,China Slowdown Helps Spur Bets for Three Rate Cuts Down Under,,2019/5/15 12:13:10,-60.0,CNY
3c574f41ddb844588a191b723a02bf3a,ForexLive: AUD back to its lows - business confidence boost can't make up for poor details,,2019/6/11 10:01:09,60.0,AUD
7d1c06c319cf4626b4e016a690510e44,Trump Says He Would Meet With Rouhani Under Right Circumstances,2019/8/26 23:12:20,2019/8/26 23:12:20,0.0,USD
3f36812e71944b0caa3b7cfd3cec1459,South Africa Gross Reserves Rise to $49.8 Billion in June,,2019/7/5 14:10:31,0.0,ZAR
bf10a6a7fa3148ecaf2cba82684f2a35,Action Forex: Swiss Franc Extends Its Gains In The Morning Session,,2019/7/30 14:35:09,-60.0,CHF
6e7ed942b1c845389d66204e2283c2e7,DUP’s Foster Says Ireland Must ‘Get Real’ on Deal: Brexit Update,,2019/7/31 15:56:45,0.0,EUR
598388fd5e294f46a78fd4be2b7fde5a,ForexLive: Fed's Kashkari: Business contacts say they're starting to raise wages,,2019/5/17 01:24:01,0.0,USD
34ce89ff9b2d4953b88f87857d75e5d3,U.S. Yields Mixed: Treasury Update,,2019/8/17 03:30:02,0.0,USD
f265fb2afc104588b2f8683abf716939,Tech Drags on Stocks as Sales Data Boosts Dollar: Markets Wrap,,2019/6/15 02:32:22,0.0,USD
9333578db0654c10a3636f5efbabd4b5,EUR 1-Day Vol Reaches 2019 High Ahead of ECB Meeting: FX Options,,2019/6/6 10:08:24,0.0,EUR
a3fd7faa1f3140639db0c9e564348d68,ForexLive: What have we learned from Europe's manufacturing PMI readings for July?,,2019/8/1 16:14:34,0.0,EUR
2cba3fcffbbe46e0b0fb0dd3951ffca4,"U.K. Curve Steady, CDS Spread Wider: Sovereign Update",2019/8/30 17:07:59,2019/8/30 17:07:59,0.0,GBP
af7c41abec9e4763a450bb42dbfdf865,New Zealand Services Index Adds to Signs of Sub-2% Growth: BNZ,,2019/7/15 06:30:01,-60.0,NZD
c58947a3b5e741268c9dd8244b3c0b63,Action Forex: Loonie Extends Its Gains In The Asian Session,,2019/6/5 14:48:11,60.0,CAD
4ac1cef2191840ddbfd19c213a77d56b,Stocks in Holding Pattern Amid China Tech Tension: Markets Wrap,,2019/5/22 16:34:43,0.0,CNY
